SKU,Composite Item Name,Status,Combo Type,Mapped Item Name,Mapped Item SKU,Mapped Quantity
PKG_BAS_BKGR,Basic Comfort Pack - Black Gray,active,Assembly,Graphite Slate Twin XL Reversible Comforter,CMFT_TXL_ST_BLKGRY,1.0
PKG_BAS_BKGR,Basic Comfort Pack - Black Gray,active,Assembly,Slate 3 Piece Twin XL Sheet Set,SHSET_TXL_MB_SLATE,1.0
PKG_BAS_BKGR,Basic Comfort Pack - Black Gray,active,Assembly,Graphite 3 Piece Twin XL Sheet Set,SHSET_TXL_MB_BLK,1.0
PKG_BAS_BKGR,Basic Comfort Pack - Black Gray,active,Assembly,Pillow,PILLOW,1.0
PKG_BAS_BKGR,Basic Comfort Pack - Black Gray,active,Assembly,Twin XL Mattress Pad,MATPAD_TXL,1.0
PKG_BAS_BKGR,Basic Comfort Pack - Black Gray,active,Assembly,"Gray 3 Piece Towel Set (Bath, Hand, Wash)",3PCTWLST_GRY,1.0
PKG_BAS_BKGR,Basic Comfort Pack - Black Gray,active,Assembly,Shower Caddy,SHWRCDY_BLK,1.0
PKG_BAS_BKGR,Basic Comfort Pack - Black Gray,active,Assembly,Laundry Bag,LNDRYBAG_GRY,1.0
PKG_BAS_PDBK,Basic Comfort Pack - Black Plaid,active,Assembly,Black Plaid Twin XL Reversible Comforter,CMFT_TXL_ST_BLKPLD-O,1.0
PKG_BAS_PDBK,Basic Comfort Pack - Black Plaid,active,Assembly,Slate 3 Piece Twin XL Sheet Set,SHSET_TXL_MB_SLATE,1.0
PKG_BAS_PDBK,Basic Comfort Pack - Black Plaid,active,Assembly,Graphite 3 Piece Twin XL Sheet Set,SHSET_TXL_MB_BLK,1.0
PKG_BAS_PDBK,Basic Comfort Pack - Black Plaid,active,Assembly,Pillow,PILLOW,1.0
PKG_BAS_PDBK,Basic Comfort Pack - Black Plaid,active,Assembly,Twin XL Mattress Pad,MATPAD_TXL,1.0
PKG_BAS_PDBK,Basic Comfort Pack - Black Plaid,active,Assembly,"Gray 3 Piece Towel Set (Bath, Hand, Wash)",3PCTWLST_GRY,1.0
PKG_BAS_PDBK,Basic Comfort Pack - Black Plaid,active,Assembly,Shower Caddy,SHWRCDY_BLK,1.0
PKG_BAS_PDBK,Basic Comfort Pack - Black Plaid,active,Assembly,Laundry Bag,LNDRYBAG_GRY,1.0
PKG_BAS_PDLP,Basic Comfort Pack - Blush Plaid,active,Assembly,Blush Plaid Twin XL Reversible Comforter,CMFT_TXL_ST_BLSHPLD,1.0
PKG_BAS_PDLP,Basic Comfort Pack - Blush Plaid,active,Assembly,Blush 3 Piece Twin XL Sheet Set,SHSET_TXL_MB_BLSH,1.0
PKG_BAS_PDLP,Basic Comfort Pack - Blush Plaid,active,Assembly,Bright White 3 Piece Twin XL Sheet Set,SHSET_TXL_MB_WHT,1.0
PKG_BAS_PDLP,Basic Comfort Pack - Blush Plaid,active,Assembly,Pillow,PILLOW,1.0
PKG_BAS_PDLP,Basic Comfort Pack - Blush Plaid,active,Assembly,Twin XL Mattress Pad,MATPAD_TXL,1.0
PKG_BAS_PDLP,Basic Comfort Pack - Blush Plaid,active,Assembly,"White 3 Piece Towel Set (Bath, Hand, Wash)",3PCTWLST_WHT,1.0
PKG_BAS_PDLP,Basic Comfort Pack - Blush Plaid,active,Assembly,Shower Caddy,SHWRCDY_BLK,1.0
PKG_BAS_PDLP,Basic Comfort Pack - Blush Plaid,active,Assembly,Laundry Bag,LNDRYBAG_GRY,1.0
PKG_BAS_CTGR,Basic Comfort Pack - Carter Stripe Gray,active,Assembly,Carter Stripe Twin XL Reversible Comforter,CMFT_TXL_ST_CRTRSTRPGRY,1.0
PKG_BAS_CTGR,Basic Comfort Pack - Carter Stripe Gray,active,Assembly,Slate 3 Piece Twin XL Sheet Set,SHSET_TXL_MB_SLATE,1.0
PKG_BAS_CTGR,Basic Comfort Pack - Carter Stripe Gray,active,Assembly,Graphite 3 Piece Twin XL Sheet Set,SHSET_TXL_MB_BLK,1.0
PKG_BAS_CTGR,Basic Comfort Pack - Carter Stripe Gray,active,Assembly,Pillow,PILLOW,1.0
PKG_BAS_CTGR,Basic Comfort Pack - Carter Stripe Gray,active,Assembly,Twin XL Mattress Pad,MATPAD_TXL,1.0
PKG_BAS_CTGR,Basic Comfort Pack - Carter Stripe Gray,active,Assembly,"Gray 3 Piece Towel Set (Bath, Hand, Wash)",3PCTWLST_GRY,1.0
PKG_BAS_CTGR,Basic Comfort Pack - Carter Stripe Gray,active,Assembly,Shower Caddy,SHWRCDY_BLK,1.0
PKG_BAS_CTGR,Basic Comfort Pack - Carter Stripe Gray,active,Assembly,Laundry Bag,LNDRYBAG_GRY,1.0
PKG_BAS_EMSD,Basic Comfort Pack - Emerald Sand,active,Assembly,Emerald Sand Twin XL Reversible Comforter,CMFT_TXL_ST_EMRDSND,1.0
PKG_BAS_EMSD,Basic Comfort Pack - Emerald Sand,active,Assembly,Emerald (Greenbriar) 3 Piece Twin XL Sheet Set,SHSET_TXL_MB_EMRD,1.0
PKG_BAS_EMSD,Basic Comfort Pack - Emerald Sand,active,Assembly,Sand (Eucalyptus) 3 Piece Twin XL Sheet Set,SHSET_TXL_MB_SAND,1.0
PKG_BAS_EMSD,Basic Comfort Pack - Emerald Sand,active,Assembly,Pillow,PILLOW,1.0
PKG_BAS_EMSD,Basic Comfort Pack - Emerald Sand,active,Assembly,Twin XL Mattress Pad,MATPAD_TXL,1.0
PKG_BAS_EMSD,Basic Comfort Pack - Emerald Sand,active,Assembly,"Gray 3 Piece Towel Set (Bath, Hand, Wash)",3PCTWLST_GRY,1.0
PKG_BAS_EMSD,Basic Comfort Pack - Emerald Sand,active,Assembly,Shower Caddy,SHWRCDY_BLK,1.0
PKG_BAS_EMSD,Basic Comfort Pack - Emerald Sand,active,Assembly,Laundry Bag,LNDRYBAG_GRY,1.0
PKG_BAS_ELWH,Basic Comfort Pack - Eyelash White,active,Assembly,Eyelash (Juliette) White Twin XL Comforter,CMFT_TXL_PR_FRNGWHT-D,1.0
PKG_BAS_ELWH,Basic Comfort Pack - Eyelash White,active,Assembly,Bright White 3 Piece Twin XL Sheet Set,SHSET_TXL_MB_WHT,2.0
PKG_BAS_ELWH,Basic Comfort Pack - Eyelash White,active,Assembly,Pillow,PILLOW,1.0
PKG_BAS_ELWH,Basic Comfort Pack - Eyelash White,active,Assembly,Twin XL Mattress Pad,MATPAD_TXL,1.0
PKG_BAS_ELWH,Basic Comfort Pack - Eyelash White,active,Assembly,"White 3 Piece Towel Set (Bath, Hand, Wash)",3PCTWLST_WHT,1.0
PKG_BAS_ELWH,Basic Comfort Pack - Eyelash White,active,Assembly,Shower Caddy,SHWRCDY_BLK,1.0
PKG_BAS_ELWH,Basic Comfort Pack - Eyelash White,active,Assembly,Laundry Bag,LNDRYBAG_GRY,1.0
PKG_BAS_PNGR,Basic Comfort Pack - Gray Pintuck,active,Assembly,Pure Pintuck-Slate Twin XL Reversible Comforter,CMFT_TXL_PR_PNTCKGRY,1.0
PKG_BAS_PNGR,Basic Comfort Pack - Gray Pintuck,active,Assembly,Slate 3 Piece Twin XL Sheet Set,SHSET_TXL_MB_SLATE,1.0
PKG_BAS_PNGR,Basic Comfort Pack - Gray Pintuck,active,Assembly,Bright White 3 Piece Twin XL Sheet Set,SHSET_TXL_MB_WHT,1.0
PKG_BAS_PNGR,Basic Comfort Pack - Gray Pintuck,active,Assembly,Pillow,PILLOW,1.0
PKG_BAS_PNGR,Basic Comfort Pack - Gray Pintuck,active,Assembly,Twin XL Mattress Pad,MATPAD_TXL,1.0
PKG_BAS_PNGR,Basic Comfort Pack - Gray Pintuck,active,Assembly,"Gray 3 Piece Towel Set (Bath, Hand, Wash)",3PCTWLST_GRY,1.0
PKG_BAS_PNGR,Basic Comfort Pack - Gray Pintuck,active,Assembly,Shower Caddy,SHWRCDY_BLK,1.0
PKG_BAS_PNGR,Basic Comfort Pack - Gray Pintuck,active,Assembly,Laundry Bag,LNDRYBAG_GRY,1.0
PKG_BAS_FLGR,Basic Comfort Pack - Green Floral,active,Assembly,Green Floral (Kyra) Twin XL Comforter,CMFT_TXL_ST_FLWRGRN-D,1.0
PKG_BAS_FLGR,Basic Comfort Pack - Green Floral,active,Assembly,Bright White 3 Piece Twin XL Sheet Set,SHSET_TXL_MB_WHT,2.0
PKG_BAS_FLGR,Basic Comfort Pack - Green Floral,active,Assembly,Pillow,PILLOW,1.0
PKG_BAS_FLGR,Basic Comfort Pack - Green Floral,active,Assembly,Twin XL Mattress Pad,MATPAD_TXL,1.0
PKG_BAS_FLGR,Basic Comfort Pack - Green Floral,active,Assembly,"White 3 Piece Towel Set (Bath, Hand, Wash)",3PCTWLST_WHT,1.0
PKG_BAS_FLGR,Basic Comfort Pack - Green Floral,active,Assembly,Shower Caddy,SHWRCDY_BLK,1.0
PKG_BAS_FLGR,Basic Comfort Pack - Green Floral,active,Assembly,Laundry Bag,LNDRYBAG_GRY,1.0
PKG_BAS_HSGR,Basic Comfort Pack - Harbor Slate,active,Assembly,Slate Twin XL Reversible Comforter,CMFT_TXL_ST_SLATE,1.0
PKG_BAS_HSGR,Basic Comfort Pack - Harbor Slate,active,Assembly,Slate 3 Piece Twin XL Sheet Set,SHSET_TXL_MB_SLATE,2.0
PKG_BAS_HSGR,Basic Comfort Pack - Harbor Slate,active,Assembly,Pillow,PILLOW,1.0
PKG_BAS_HSGR,Basic Comfort Pack - Harbor Slate,active,Assembly,Twin XL Mattress Pad,MATPAD_TXL,1.0
PKG_BAS_HSGR,Basic Comfort Pack - Harbor Slate,active,Assembly,"Gray 3 Piece Towel Set (Bath, Hand, Wash)",3PCTWLST_GRY,1.0
PKG_BAS_HSGR,Basic Comfort Pack - Harbor Slate,active,Assembly,Shower Caddy,SHWRCDY_BLK,1.0
PKG_BAS_HSGR,Basic Comfort Pack - Harbor Slate,active,Assembly,Laundry Bag,LNDRYBAG_GRY,1.0
PKG_BAS_LVLP,Basic Comfort Pack - Lavender Blush,active,Assembly,Lavender Blush Twin XL Reversible Comforter,CMFT_TXL_ST_BLSHLAV,1.0
PKG_BAS_LVLP,Basic Comfort Pack - Lavender Blush,active,Assembly,Lavender 3 Piece Twin XL Sheet Set,SHSET_TXL_MB_LAV,1.0
PKG_BAS_LVLP,Basic Comfort Pack - Lavender Blush,active,Assembly,Blush 3 Piece Twin XL Sheet Set,SHSET_TXL_MB_BLSH,1.0
PKG_BAS_LVLP,Basic Comfort Pack - Lavender Blush,active,Assembly,Pillow,PILLOW,1.0
PKG_BAS_LVLP,Basic Comfort Pack - Lavender Blush,active,Assembly,Twin XL Mattress Pad,MATPAD_TXL,1.0
PKG_BAS_LVLP,Basic Comfort Pack - Lavender Blush,active,Assembly,"White 3 Piece Towel Set (Bath, Hand, Wash)",3PCTWLST_WHT,1.0
PKG_BAS_LVLP,Basic Comfort Pack - Lavender Blush,active,Assembly,Shower Caddy,SHWRCDY_BLK,1.0
