year,school_code,school_name,order_first_date,spreadsheet_first_date,total_circ,total_orders,total_revenue,dist_type
2014,ASU,Arizona State University,,2014-05-28,7173.0,1157.0,217219.0,
2015,ASU,Arizona State University,,2015-04-30,5780.0,1063.0,188396.0,
2016,ASU,Arizona State University,2016-06-01,2016-05-31,7881.0,1066.0,204908.0,1
2017,ASU,Arizona State University,2017-05-28,2017-05-26,8203.0,921.0,175163.0,1
2018,ASU,Arizona State University,2018-05-05,2018-05-01,9197.0,1426.0,281983.0,1
2019,ASU,Arizona State University,,2019-04-18,7290.0,1216.0,273591.0,1
2014,PSU,Penn State University,,2014-05-06,7747.0,1383.0,269994.0,
2015,PSU,Penn State University,,2015-05-04,7127.0,1159.0,220271.0,
2016,PSU,Penn State University,2016-04-29,2016-04-28,8257.0,1482.0,313582.0,7
2017,PSU,Penn State University,2017-05-01,2017-05-01,7584.0,1256.0,267262.0,7
2018,PSU,Penn State University,2018-05-02,2018-05-01,7023.0,1257.0,263665.0,7
2019,PSU,Penn State University,,2019-05-01,8141.0,1065.0,241478.0,7
2014,OSU,The Ohio State University,,2014-05-15,6637.0,1122.0,204414.0,
2015,OSU,The Ohio State University,,2015-05-18,7235.0,1210.0,219429.0,
2016,OSU,The Ohio State University,2016-05-16,2016-05-23,7666.0,1227.0,228129.0,1
2017,OSU,The Ohio State University,2017-05-04,2017-05-02,6783.0,1115.0,204200.0,1
2018,OSU,The Ohio State University,2018-05-21,2018-05-16,8018.0,1030.0,204290.0,1
2019,OSU,The Ohio State University,,2019-05-10,8001.0,1258.0,230669.0,1
2014,MST,Michigan State University,,2014-05-02,8120.0,1054.0,198694.0,
2015,MST,Michigan State University,,2015-05-04,7918.0,1188.0,221443.0,
2016,MST,Michigan State University,2016-05-05,2016-05-04,7866.0,1055.0,216240.0,1
2017,MST,Michigan State University,2017-04-27,2017-04-24,7650.0,974.0,184695.0,1
2018,MST,Michigan State University,2018-05-05,2018-05-01,9031.0,941.0,186310.0,1
2019,MST,Michigan State University,,2019-04-19,8880.0,1011.0,215833.0,1
2014,UOR,University of Oregon,,2014-05-09,3304.0,430.0,79331.0,
2015,UOR,University of Oregon,,2015-05-11,3352.0,373.0,67217.0,
2016,UOR,University of Oregon,2016-05-08,2016-05-04,3250.0,369.0,76510.0,1
2017,UOR,University of Oregon,2017-05-04,2017-05-01,3780.0,416.0,85797.0,1
2018,UOR,University of Oregon,2018-05-07,2018-05-01,4814.0,607.0,122343.0,1
2019,UOR,University of Oregon,,2019-04-18,4630.0,899.0,195850.0,1
2014,TTU,Texas Tech University,,2014-04-24,5903.0,1153.0,222332.0,
2015,TTU,Texas Tech University,,2015-04-23,5361.0,950.0,179326.0,
2016,TTU,Texas Tech University,2016-04-23,2016-04-21,7492.0,859.0,169463.0,1
2017,TTU,Texas Tech University,2017-04-23,2017-04-20,8426.0,813.0,160048.0,1
2018,TTU,Texas Tech University,2018-05-04,2018-05-01,7013.0,910.0,186644.0,1
2019,TTU,Texas Tech University,,2019-04-18,6961.0,911.0,193457.0,1
2014,UAZ,The University of Arizona,,2014-05-16,6637.0,1227.0,243371.0,
2015,UAZ,The University of Arizona,,2015-04-23,7541.0,1062.0,213443.0,
2016,UAZ,The University of Arizona,2016-05-08,2016-05-05,7184.0,1186.0,267698.0,1
2017,UAZ,The University of Arizona,2017-05-17,2017-05-15,8199.0,920.0,203609.0,1
2018,UAZ,The University of Arizona,2018-05-05,2018-05-01,7894.0,1078.0,247908.0,1
2019,UAZ,The University of Arizona,,2019-04-18,7942.0,830.0,188693.0,1
2014,COB,University of Colorado,,2014-05-22,7202.0,986.0,203180.0,
2015,COB,University of Colorado,,2015-04-29,6243.0,1144.0,239117.0,
2016,COB,University of Colorado,2016-04-27,2016-04-25,7074.0,1359.0,307663.0,1
