Account Manager,School Code,School Name,Type,Program Type,Fee,New Res Move In Date,Order Report to School,OBD,Pack Date and Send Student Email with Information for Pick Up,Transit Days,Ship Date,Arrival Date,Date Last Chance Email Send,Date OBD goes on Microsite,Ship to School comes off Site at 8AM,Dates Confirmed with School,Shipping Address,Notes,Extra Product,Extra Quantity,Extra Shipping Address,,,,,,,,,,,,,,
Jenny,ca-chc,"California State University, Chico",Ship To Campus,Regular,$30,8/26/26,,8/12/26,8/13/26,5,8/14/26,8/21/26,,8/7/26,8/13/26,,,,,,,,,,,,,,,,,,,,
Jenny,ca-cpp,"California State Polytechnic University, Pomona",Ship To Campus,Regular,$30,8/16/26,,8/3/26,8/4/26,4,8/5/26,8/11/26,,7/29/26,8/4/26,,,,,,,,,,,,,,,,,,,,
Jenny,ca-pep,Pepperdine University,Ship To Campus,Regular,$30,8/17/26,,8/4/26,8/5/26,4,8/6/26,8/12/26,,7/30/26,8/5/26,,,,,,,,,,,,,,,,,,,,
Jenny,ca-sca,University of Southern California,Ship To Campus,Regular,$30,8/19/26,,8/6/26,8/7/26,4,8/10/26,8/14/26,,8/1/26,8/7/26,,,,,,,,,,,,,,,,,,,,
Jenny,ca-ucl,"University of California, Los Angeles",Ship To Campus,Regular,$30,9/16/26,,9/2/26,9/3/26,4,9/4/26,9/11/26,,8/28/26,9/3/26,,,,,,,,,,,,,,,,,,,,
Jenny,y2-ucl,"University of California, Los Angeles",Ship To Campus,International,$30,9/16/26,,9/2/26,9/3/26,4,9/4/26,9/11/26,,8/28/26,9/3/26,,,,,,,,,,,,,,,,,,,,
Jenny,co-cob,University of Colorado - Boulder,In Room Delivery,Regular,$30,8/14/26,,7/27/26,7/28/26,3,7/29/26,8/3/26,,7/22/26,7/28/26,,,,,,,,,,,,,,,,,,,,
Jenny,co-csm,Colorado School of Mines,Ship To Campus,Regular,$30,8/15/26,,8/3/26,8/4/26,3,8/5/26,8/10/26,,7/29/26,8/4/26,,,,,,,,,,,,,,,,,,,,
Jenny,x3-img,IMG Academy,Ship To Campus,Summer,$30,7/16/26,,7/2/26,7/6/26,3,7/7/26,7/10/26,,6/27/26,7/3/26,,,,,,,,,,,,,,,,,,,,
Jenny,fl-img,IMG Academy,Ship To Campus,Regular,$30,8/3/26,,7/22/26,7/23/26,3,7/24/26,7/29/26,,7/17/26,7/23/26,JENNY - School gave us arrival date of 8/4 BUT that is day after Move In Day - can they accept them earlier than that?,"5500 34th St W, Bradenton, FL 34210","Student's name should be on outside of package even if parent/guardian is the purchaser
Students will be notified via email when a package has been received to our Warehouse. They will need to have the package addressed to the student to ensure a timely notification and pickup.",,,,,,,,,,,,,,,,,
Jenny,ks-otw,Ottawa University,Ship To Campus,Regular,$30,8/19/26,,8/9/26,8/10/26,3,8/11/26,8/14/26,,8/4/26,8/10/26,,,,,,,,,,,,,,,,,,,,
Jenny,ma-brd,Brandeis University - could be domestic or international,Ship To Campus,Regular,$30,8/23/26,,8/13/26,8/14/26,2,8/17/26,8/19/26,,8/8/26,8/14/26,YES,"415 South Street
INSERT MAILBOX NUMBER HERE
Waltham MA, 02453",No Special Labeling on Outside Box - Please go to the mail room in the Usdan Student Center to pick up your packages.,,,,,,,,,,,,,,,,,
Jenny,nc-duk,Duke University - could be domestic or international,Ship To Campus,Regular,$30,8/15/26,,8/4/26,8/5/26,2,8/6/26,8/10/26,,7/30/26,8/5/26,,,,,,,,,,,,,,,,,,,,
Jenny,ny-ccn,The Towers at CCNY,Ship To Campus,Regular,$30,8/22/26,,8/12/26,8/13/26,1,8/14/26,8/17/26,,8/7/26,8/13/26,JENNY - School gave us arrival date of 8/22 BUT that is also Move In Day - can they accept them earlier than that?,"401 W 130th Street
New York, NY 10027","The resident's name needs to be on the package
Based on the size package, it may be in the Amazon locker or Fronk Desk",,,,,,,,,,,,,,,,,
